,ID,tips,convex_hull_area,solidity,perimeter,width,height
0,P0872_16,13,840790.0,0.2150893802257401,14077.537899136543,1028,1165
0,P0873_16,13,557346.0,0.2808650281871584,11786.77845776081,1020,907
0,P0874_16,13,549304.5,0.30359117757091014,10487.204210877419,887,896
0,P0875_16,10,461520.5,0.21706728086834712,7598.97837293148,958,677
0,P0876_16,12,723839.5,0.2579826052598677,14520.447541117668,1028,937
0,P0877_16,11,616705.0,0.22620864108447314,11187.570649504662,977,926
0,P0878_16,10,809043.5,0.1971822281496607,13198.617399692535,1026,1165
0,P0879_16,9,754617.5,0.22244382087613923,12829.636394381523,988,1165
0,P0880_16,10,790709.5,0.2051802842889835,12186.600195884705,1028,1075
0,P0881_16,10,935419.0,0.1872337423122686,15475.576789975166,1028,1165
0,P0882_16,11,870778.0,0.22051544710592136,13133.22627389431,1025,1154
0,P0883_16,11,711662.0,0.23204133422888956,13037.986490368843,1028,965
0,P0884_16,10,622675.0,0.21612076926165336,12186.516009807587,1028,911
0,P0885_16,13,779039.0,0.2073991160904653,14562.501440405846,905,1165
0,P0887_16,10,662921.0,0.22239754058175862,13408.89813220501,973,905
0,P0888_16,11,593385.0,0.23978529959469821,11084.032877326012,841,995
0,P0889_16,12,564211.5,0.25355030870515755,10642.231453299522,842,981
0,P0890_16,11,947414.5,0.1959026381800152,12302.014409422874,1028,1165
0,P0891_16,12,626192.0,0.22993746327005135,13252.60480606556,986,810
0,P0892_16,11,431543.5,0.3162740256775968,10427.3941552639,753,864
0,P0893_16,11,531193.5,0.24165581845410383,9603.999121904373,951,886
0,P0894_16,10,421825.0,0.24969833461743615,8391.367829442024,767,762
0,P0895_16,10,881268.0,0.22211744894856048,14160.537405490875,946,1165
0,P0896_16,11,678884.5,0.21731384351830096,11742.450492501259,943,916
0,P0897_16,11,339085.5,0.27173382524466544,7761.502486467361,925,564
0,P0899_16,11,481969.0,0.31690212441049115,9823.177630543709,1028,745
0,P0900_16,11,721643.5,0.22193091186991915,14023.96793627739,981,1015
0,P0902_16,13,464261.5,0.27364104066350536,11613.909194588661,827,794
0,P0903_16,7,340810.5,0.3311781767287099,8374.500229001045,864,501
0,P0904_16,12,670568.0,0.22737887880125507,11350.578734397888,967,866
0,P0905_16,10,660433.0,0.23564237401825772,9539.648755550385,1028,830
0,P0906_16,10,679714.0,0.20083593982174855,10257.589756131172,989,885
0,P0907_16,13,591698.5,0.25876523263114576,10063.832396745682,980,855
0,P0908_16,13,771414.5,0.19859232617483855,12631.428622961044,1018,950
0,P0909_16,12,779445.0,0.22369506507835704,13596.080389618874,967,979
0,P0910_16,10,478271.5,0.19779978526840927,9274.59535229206,753,874
0,P0911_16,12,635819.5,0.2589351223106558,10787.33404648304,914,960
0,P0912_16,12,622744.0,0.27137314851688654,14961.487643837929,934,928
0,P0913_16,12,570982.5,0.21450920124522205,11160.89498603344,946,862
0,P0914_16,12,887167.0,0.2263576079813609,14706.301802396774,1028,1165
0,P0915_16,11,728552.5,0.21543402843309165,14726.737719655037,995,940
0,P0916_16,9,593373.0,0.23802734536286618,9887.568102836609,822,1101
0,P0917_16,11,643366.0,0.2457372630819782,13167.62310731411,1027,854
0,P0918_16,11,537234.0,0.23106504800515232,10405.953536748886,971,793
0,P0919_16,10,634897.0,0.2448964162690956,11889.669110774994,1021,841
0,P0920_16,10,674218.5,0.2098874474669562,11107.005745530128,994,863
0,P0921_16,11,750396.5,0.21881898436359978,12700.317051529884,1028,1165
0,P0922_16,11,681909.5,0.21688655166118084,12726.165469050407,879,938
0,P0923_16,11,694080.0,0.190773397879207,12665.832499623299,1028,962
0,P0924_16,13,621048.5,0.20979037869023112,12350.873194813728,923,874
0,P0925_16,12,510008.0,0.27553881507741057,11007.908424139023,882,784
0,P0926_16,11,644047.5,0.2222305031849359,11711.59814298153,1028,796
0,P0927_16,11,555457.5,0.2371756615042555,8916.20585656166,1005,778
0,P0928_16,11,553181.5,0.24892734120718066,12369.133343219757,946,832
0,P0929_16,10,809430.5,0.17788803362364033,12485.569767355919,959,1165
0,P0930_16,10,610999.0,0.2621624585310287,11449.562406539917,905,888
0,P0931_16,11,667979.0,0.20802749787044203,12259.542662143707,1015,848
0,P0932_16,9,407059.5,0.25533367972004095,9456.24883544445,896,598
0,P0933_16,11,700018.5,0.20990588105885774,10681.20377445221,1004,832
0,P0934_16,13,722530.5,0.22840004678003212,11581.392846107483,894,1128
0,P0935_16,9,469028.0,0.2030688999377436,8536.205235600471,950,738
0,P0936_16,10,394993.0,0.3455808077611502,10556.738435983658,773,636
0,P0937_16,11,522700.0,0.2202391429118041,10462.359308123589,930,828
0,P0938_16,10,367336.0,0.30851318683711915,9167.273959875107,885,616
0,P0939_16,11,469062.5,0.26122744836775486,11518.978773117065,830,778
0,P0940_16,11,805764.5,0.21298158456968505,10547.229365348816,1017,1165
0,P0941_16,12,667665.0,0.21398605588131772,13884.78004348278,965,932
0,P0942_16,12,548206.5,0.24434770474264716,12551.104999303818,951,757
0,P0943_16,11,804077.0,0.2186817929128678,12680.281592488289,878,1165
0,P0944_16,11,505990.5,0.2977822706157527,12282.089586138725,956,752
0,P0945_16,13,702521.0,0.2234310433424766,13115.415404081345,1028,922
0,P0946_16,9,423740.5,0.27110460293505106,8889.815065026283,861,694
0,P0947_16,10,596707.5,0.27738381032582965,12173.030372142792,1011,714
0,P0948_16,12,583858.0,0.24346673334954733,12805.29151725769,1028,791
0,P0949_16,10,672032.5,0.23161975053289832,11530.56153011322,1003,907
0,P0950_16,12,617628.5,0.21142806719573337,13712.035384178162,928,832
0,P0951_16,13,605770.5,0.25342600869471194,12939.72121322155,973,862
0,P0952_16,9,574682.5,0.21276965976865486,9416.611940979958,953,767
0,P0953_16,9,952332.0,0.1955505012957666,15516.285232067108,1028,1162
0,P0954_16,11,743356.0,0.21561808877576827,13112.032465219498,1028,952
0,P0955_16,11,680363.0,0.2069630476672012,12934.294518709183,897,1061
0,P0956_16,9,675073.5,0.20381780650551384,12282.297290086746,1028,807
0,P0957_16,11,442819.0,0.29295716760120954,9021.953111290932,975,644
0,P0958_16,10,706264.5,0.2088707559278429,10175.542197227478,969,994
0,P0959_16,11,491907.5,0.2563916996589806,11087.537811279297,888,742
0,P0960_16,12,664924.5,0.24728972988662623,12250.323955059052,985,908
0,P0961_16,10,566898.0,0.21889122910999861,9514.48244023323,932,800
0,P0962_16,11,724882.5,0.25394598434918764,12607.789509177208,953,920
0,P0963_16,12,851100.0,0.2464375514040653,12153.09140586853,1024,1152
0,P0964_16,13,743513.0,0.2136384972421464,13958.336630821228,1028,921
0,P0965_16,10,617267.0,0.20952197347339158,11397.653790950775,984,876
0,P0966_16,9,408629.5,0.25187608824130414,8120.266124725342,864,630
0,P0967_16,11,389397.0,0.28788357383338853,7628.363529801369,931,553
0,P0968_16,10,447074.0,0.27044516120373807,9501.207175254822,910,704
0,P0969_16,8,652649.0,0.17425599365049207,8549.535064339638,1028,883
0,P0970_16,13,649110.0,0.2211443360909553,14188.78814458847,1028,848
0,P0971_16,11,595082.0,0.22995318292268965,9309.911481142044,885,997
0,P0972_16,10,806637.0,0.20161981163770074,12823.830909132957,948,1136
0,P0973_16,10,587715.0,0.21684830232340505,10171.595502495766,878,934
0,P0974_16,11,588294.5,0.21985077201979622,9275.028223276138,978,875
0,P0975_16,11,712886.0,0.2074511212171371,10832.189823150635,942,1011
0,P0976_16,10,507307.0,0.23983307937797035,9906.768469333649,968,738
0,P0977_16,8,347473.0,0.3701006984715359,8069.517940163612,735,721
0,P0978_16,13,470312.0,0.3110084369524911,9938.000937223434,884,790
0,P0979_16,11,685407.5,0.17654315133697837,11236.710696339607,961,1054
0,P0980_16,14,551484.5,0.28393726387595664,13015.764421343803,919,768
0,P0981_16,11,948828.5,0.19948283593926616,12600.68345618248,1028,1131
0,P0982_16,10,683369.5,0.24541042583843733,15431.01090669632,882,1072
